序号,企业名称,企业编号,建筑物名称,建筑物编号,车间名称,车间编号,工艺名称,工艺编号,采样点名称,采样点编号,最小值,最大值,低低设,低设,高设,高高设,类别,描述,x坐标,y坐标,高度,宽度,单位,测点
83,新亚强硅化学股份有限公司（二厂）,q0083,罐组2（二厂区）,q0083b0013,罐组2,q0083w0013,罐区工艺2,q0083s0006,V1004A粗产品储罐压力,q0083p0092,0,0.5,0,0.1,0.3,0.4,工艺点位,,1175,530,,,Mpa,
84,新亚强硅化学股份有限公司（二厂）,q0083,罐组2（二厂区）,q0083b0013,罐组2,q0083w0013,罐区工艺2,q0083s0006,V1004B粗产品储罐压力,q0083p0093,0,1,0,0.1,0.8,0.9,工艺点位,,1382,530,,,Mpa,
85,新亚强硅化学股份有限公司（二厂）,q0083,罐组2（二厂区）,q0083b0013,罐组2,q0083w0013,罐区工艺2,q0083s0006,V1005A待脱高料罐压力,q0083p0094,0,1,0,0.1,0.8,0.9,工艺点位,,960,530,,,Mpa,
86,新亚强硅化学股份有限公司（二厂）,q0083,罐组1（二厂区）,q0083b0012,罐组1,q0083w0012,罐区工艺1,q0083s0005,V1006A一次联苯罐压力,q0083p0095,0,0.8,0,0.1,0.6,0.7,工艺点位,,300,430,,,Mpa,
87,新亚强硅化学股份有限公司（二厂）,q0083,罐组4（二厂区）,q0083b0015,罐组4,q0083w0015,罐区工艺4,q0083s0008,V1002C罐压力 含苯低沸物,q0083p0096,0,1,0,0.1,0.8,0.9,工艺点位,,362,550,,,Mpa,
88,新亚强硅化学股份有限公司（二厂）,q0083,罐组4（二厂区）,q0083b0015,罐组4,q0083w0015,罐区工艺4,q0083s0008,V1002D罐压力 含苯低沸物,q0083p0097,0,1,0,0.1,0.8,0.9,工艺点位,,574,550,,,Mpa,
89,新亚强硅化学股份有限公司（二厂）,q0083,罐组4（二厂区）,q0083b0015,罐组4,q0083w0015,罐区工艺4,q0083s0008,V1003B罐压力 低沸物,q0083p0098,0,1,0,0.1,0.8,0.9,工艺点位,,785,550,,,Mpa,
90,新亚强硅化学股份有限公司（二厂）,q0083,罐组4（二厂区）,q0083b0015,罐组4,q0083w0015,罐区工艺4,q0083s0008,V1004C二苯馏分罐压力,q0083p0099,0,1,0,0.1,0.8,0.9,工艺点位,,1208,650,,,Mpa,
91,新亚强硅化学股份有限公司（二厂）,q0083,罐组4（二厂区）,q0083b0015,罐组4,q0083w0015,罐区工艺4,q0083s0008,V1004D罐压力  含苯低沸物,q0083p0100,0,1,0,0.1,0.8,0.9,工艺点位,,1415,550,,,Mpa,
92,新亚强硅化学股份有限公司（二厂）,q0083,罐组4（二厂区）,q0083b0015,罐组4,q0083w0015,罐区工艺4,q0083s0008,V1005B罐压力 二苯馏分,q0083p0101,0,1,0,0.1,0.8,0.9,工艺点位,,1000,600,,,Mpa,
