序号,企业名称,企业编号,建筑物名称,建筑物编号,车间名称,车间编号,工艺名称,工艺编号,采样点名称,采样点编号,最小值,最大值,低低设,低设,高设,高高设,类别,描述,x坐标,y坐标,高度,宽度,单位,测点
57,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成A,q0032s0004,PI1215,q0032p0058,0,0.2,0,0,0.1,0.13,工艺点位,,112,255,,,Mpa,tag1
58,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成A,q0032s0004,PI1216,q0032p0059,0,0.2,0,0,0.1,0.13,工艺点位,,265,255,,,Mpa,tag1
59,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成A,q0032s0004,PI1218,q0032p0061,0,0.2,0,0,0.1,0.13,工艺点位,,567,255,,,Mpa,tag1
60,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成A,q0032s0004,PI1219,q0032p0062,0,0.2,0,0,0.1,0.13,工艺点位,,720,255,,,Mpa,tag1
61,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成A,q0032s0004,PI1220,q0032p0063,0,0.2,0,0,0.1,0.13,工艺点位,,870,255,,,Mpa,tag1
62,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成A,q0032s0004,PI1221,q0032p0064,0,0.2,0,0,0.1,0.13,工艺点位,,1018,255,,,Mpa,tag1
63,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成A,q0032s0004,PI1222,q0032p0065,0,0.2,0,0,0.1,0.13,工艺点位,,112,108,,,Mpa,tag1
64,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成A,q0032s0004,PI1223,q0032p0066,0,0.2,0,0,0.1,0.13,工艺点位,,265,108,,,Mpa,tag1
65,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成A,q0032s0004,PI1224,q0032p0067,0,0.2,0,0,0.1,0.13,工艺点位,,418,108,,,Mpa,tag1
66,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成A,q0032s0004,PI1225,q0032p0068,0,0.2,0,0,0.1,0.13,工艺点位,,590,108,,,Mpa,tag1
67,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成A,q0032s0004,PI1226,q0032p0069,0,0.2,0,0,0.1,0.13,工艺点位,,720,108,,,Mpa,tag1
68,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成A,q0032s0004,PI1227,q0032p0070,0,0.2,0,0,0.1,0.13,工艺点位,,870,108,,,Mpa,tag1
69,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成A,q0032s0004,PI1228,q0032p0071,0,0.2,0,0,0.1,0.13,工艺点位,,1018,108,,,Mpa,tag1
70,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成B,q0032s0005,PI1401,q0032p0072,0,0.2,0,0,0.1,0.13,工艺点位,,112,564,,,Mpa,tag1
71,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成B,q0032s0005,PI1402,q0032p0073,0,0.2,0,0,0.1,0.13,工艺点位,,265,564,,,Mpa,tag1
72,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成B,q0032s0005,PI1403,q0032p0074,0,0.2,0,0,0.1,0.13,工艺点位,,418,564,,,MPa,tag1
73,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成B,q0032s0005,PI1404,q0032p0075,0,0.2,0,0,0.1,0.13,工艺点位,,567,564,,,Mpa,tag1
74,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成B,q0032s0005,PI1405,q0032p0076,0,0.2,0,0,0.1,0.13,工艺点位,,720,564,,,Mpa,tag1
75,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成B,q0032s0005,PI1406,q0032p0077,0,0.2,0,0,0.1,0.13,工艺点位,,870,564,,,Mpa,tag1
76,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成B,q0032s0005,PI1407,q0032p0078,0,0.2,0,0,0.1,0.13,工艺点位,,1018,564,,,Mpa,tag1
77,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成B,q0032s0005,PI1408,q0032p0079,0,0.2,0,0,0.1,0.13,工艺点位,,112,398,,,Mpa,tag1
78,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成B,q0032s0005,PI1409,q0032p0080,0,0.2,0,0,0.1,0.13,工艺点位,,265,398,,,Mpa,tag1
79,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成B,q0032s0005,PI1410,q0032p0081,0,0.2,0,0,0.1,0.13,工艺点位,,418,398,,,Mpa,tag1
80,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成B,q0032s0005,PI1411,q0032p0082,0,0.2,0,0,0.1,0.13,工艺点位,,567,398,,,Mpa,tag1
81,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成B,q0032s0005,PI1412,q0032p0083,0,0.2,0,0,0.1,0.13,工艺点位,,720,398,,,Mpa,tag1
82,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成B,q0032s0005,PI1413,q0032p0084,0,0.2,0,0,0.1,0.13,工艺点位,,870,398,,,Mpa,tag1
83,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成B,q0032s0005,PI1414,q0032p0085,0,0.2,0,0,0.1,0.13,工艺点位,,1018,398,,,Mpa,tag1
84,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成B,q0032s0005,PI1415,q0032p0086,0,0.2,0,0,0.1,0.13,工艺点位,,112,255,,,Mpa,tag1
85,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成B,q0032s0005,PI1416,q0032p0087,0,0.2,0,0,0.1,0.13,工艺点位,,265,255,,,Mpa,tag1
86,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成B,q0032s0005,PI1417,q0032p0088,0,0.2,0,0,0.1,0.13,工艺点位,,418,255,,,Mpa,tag1
87,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成B,q0032s0005,PI1418,q0032p0089,0,0.2,0,0,0.1,0.13,工艺点位,,567,255,,,Mpa,tag1
88,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成B,q0032s0005,PI1419,q0032p0090,0,0.2,0,0,0.1,0.13,工艺点位,,720,255,,,Mpa,tag1
89,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成B,q0032s0005,PI1420,q0032p0091,0,0.2,0,0,0.1,0.13,工艺点位,,870,255,,,Mpa,tag1
90,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成B,q0032s0005,PI1421,q0032p0092,0,0.2,0,0,0.1,0.13,工艺点位,,1018,255,,,Mpa,tag1
91,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成B,q0032s0005,PI1422,q0032p0093,0,0.2,0,0,0.1,0.13,工艺点位,,112,108,,,Mpa,tag1
92,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成B,q0032s0005,PI1423,q0032p0094,0,0.2,0,0,0.1,0.13,工艺点位,,265,108,,,Mpa,tag1
93,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成B,q0032s0005,PI1424,q0032p0095,0,0.2,0,0,0.1,0.13,工艺点位,,418,108,,,Mpa,tag1
94,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成B,q0032s0005,PI1425,q0032p0096,0,0.2,0,0,0.1,0.13,工艺点位,,590,108,,,MPa,tag1
95,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成B,q0032s0005,PI1426,q0032p0097,0,0.2,0,0,0.1,0.13,工艺点位,,720,108,,,Mpa,tag1
96,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成B,q0032s0005,PI1427,q0032p0098,0,0.2,0,0,0.1,0.13,工艺点位,,870,108,,,Mpa,tag1
97,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成B,q0032s0005,PI1428,q0032p0099,0,0.2,0,0,0.1,0.13,工艺点位,,1018,108,,,Mpa,tag1
98,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组3,q0032b0015,危险品罐组3（一厂区）,q0032w0015,罐组3,q0032s0008,PI-604A 硅氮半成品,q0032p0100,0,0.2,0,0,0.1,0.13,工艺点位,,175,635,,,Mpa,tag1
99,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组3,q0032b0015,危险品罐组3（一厂区）,q0032w0015,罐组3,q0032s0008,PI-604B 硅氮半成品,q0032p0101,0,0.2,0,0,0.1,0.13,工艺点位,,305,635,,,Mpa,tag1
100,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组3,q0032b0015,危险品罐组3（一厂区）,q0032w0015,罐组3,q0032s0008,PI-604C 七甲半成品,q0032p0102,0,0.2,0,0,0.1,0.13,工艺点位,,450,635,,,Mpa,tag1
101,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组3,q0032b0015,危险品罐组3（一厂区）,q0032w0015,罐组3,q0032s0008,PI-605 七甲半成品,q0032p0103,0,0.2,0,0,0.1,0.13,工艺点位,,592,635,,,Mpa,tag1
102,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组3,q0032b0015,危险品罐组3（一厂区）,q0032w0015,罐组3,q0032s0008,PI-606A 硅氮半成品,q0032p0104,0,0.2,0,0,0.1,0.13,工艺点位,,720,635,,,Mpa,tag1
103,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组3,q0032b0015,危险品罐组3（一厂区）,q0032w0015,罐组3,q0032s0008,PI-606B 硅氮半成品,q0032p0105,0,0.2,0,0,0.1,0.13,工艺点位,,852,635,,,Mpa,tag1
104,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组3,q0032b0015,危险品罐组3（一厂区）,q0032w0015,罐组3,q0032s0008,PI-606C 硅氮半成品,q0032p0106,0,0.2,0,0,0.1,0.13,工艺点位,,989,635,,,Mpa,tag1
105,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组3,q0032b0015,危险品罐组3（一厂区）,q0032w0015,罐组3,q0032s0008,PI-607A 三车间半成品,q0032p0107,0,0.2,0,0,0.1,0.13,工艺点位,,1124,635,,,Mpa,tag1
106,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组3,q0032b0015,危险品罐组3（一厂区）,q0032w0015,罐组3,q0032s0008,PI-612 二硅烷半成品,q0032p0108,0,0.2,0,0.05,0.15,0.2,工艺点位,,720,335,,,Mpa,tag1
107,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组1,q0032b0013,危险品罐组1（一厂区）,q0032w0013,,,PI-806B 硅氮前馏,q0032p0109,0,0.2,0,0,0.1,0.13,重点化学品点位,,580,600,,,Mpa,tag1
108,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组3,q0032b0015,危险品罐组3（一厂区）,q0032w0015,罐组3,q0032s0008,TI-604A 硅氮半成品,q0032p0110,0,80,0,0,30,40,工艺点位,,175,535,,,℃,tag1
109,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组3,q0032b0015,危险品罐组3（一厂区）,q0032w0015,罐组3,q0032s0008,TI-604B 硅氮半成品,q0032p0111,0,80,0,0,30,40,工艺点位,,305,535,,,℃,tag1
110,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组3,q0032b0015,危险品罐组3（一厂区）,q0032w0015,罐组3,q0032s0008,TI-604C 七甲半成品,q0032p0112,0,80,0,0,30,40,工艺点位,,450,535,,,℃,tag1
111,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组3,q0032b0015,危险品罐组3（一厂区）,q0032w0015,罐组3,q0032s0008,TI-605 七甲半成品,q0032p0113,0,80,0,0,30,40,工艺点位,,592,535,,,℃,tag1
112,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组3,q0032b0015,危险品罐组3（一厂区）,q0032w0015,罐组3,q0032s0008,TI-606A 硅氮半成品,q0032p0114,0,80,0,0,30,40,工艺点位,,720,535,,,℃,tag1
